RecordID,MeterID,Timestamp,Consumption
1,201,2023-10-01 00:00:00,7.34
2,201,2023-10-01 08:00:00,4.96
3,201,2023-10-01 16:00:00,6.34
4,201,2023-10-02 00:00:00,7.61
5,201,2023-10-02 08:00:00,9.29
6,201,2023-10-02 16:00:00,6.74
7,201,2023-10-03 00:00:00,8.66
8,201,2023-10-03 08:00:00,3.68
9,201,2023-10-03 16:00:00,5.19
10,201,2023-10-04 00:00:00,3.18
11,201,2023-10-04 08:00:00,6.28
12,201,2023-10-04 16:00:00,9.53
13,201,2023-10-05 00:00:00,7.92
14,201,2023-10-05 08:00:00,8.62
15,201,2023-10-05 16:00:00,6.5
16,201,2023-10-06 00:00:00,6.78
17,201,2023-10-06 08:00:00,4.25
18,201,2023-10-06 16:00:00,7.35
19,201,2023-10-07 00:00:00,9.14
20,201,2023-10-07 08:00:00,7.86
21,201,2023-10-07 16:00:00,1.2
22,201,2023-10-08 00:00:00,5.72
23,201,2023-10-08 08:00:00,9.37
24,201,2023-10-08 16:00:00,6.24
25,201,2023-10-09 00:00:00,6.38
26,201,2023-10-09 08:00:00,1.42
27,201,2023-10-09 16:00:00,8.22
28,201,2023-10-10 00:00:00,1.85
29,201,2023-10-10 08:00:00,1.08
30,201,2023-10-10 16:00:00,5.63
31,201,2023-10-11 00:00:00,7.08
32,201,2023-10-11 08:00:00,4.9
33,201,2023-10-11 16:00:00,6.66
34,201,2023-10-12 00:00:00,5.2
35,201,2023-10-12 08:00:00,2.69
36,201,2023-10-12 16:00:00,6.57
37,201,2023-10-13 00:00:00,8.22
38,201,2023-10-13 08:00:00,7.6
39,201,2023-10-13 16:00:00,5.32
40,201,2023-10-14 00:00:00,9.95
41,201,2023-10-14 08:00:00,9.81
42,201,2023-10-14 16:00:00,0.76
43,201,2023-10-15 00:00:00,9.72
44,201,2023-10-15 08:00:00,6.45
45,201,2023-10-15 16:00:00,4.33
46,201,2023-10-16 00:00:00,4.91
47,201,2023-10-16 08:00:00,4.14
48,201,2023-10-16 16:00:00,0.75
49,201,2023-10-17 00:00:00,9.81
50,201,2023-10-17 08:00:00,1.46
51,201,2023-10-17 16:00:00,7.26
52,201,2023-10-18 00:00:00,8.61
53,201,2023-10-18 08:00:00,8.8
54,201,2023-10-18 16:00:00,6.28
55,201,2023-10-19 00:00:00,2.18
56,201,2023-10-19 08:00:00,5.82
57,201,2023-10-19 16:00:00,6.36
58,201,2023-10-20 00:00:00,0.57
59,201,2023-10-20 08:00:00,7.82
60,201,2023-10-20 16:00:00,8.22
61,201,2023-10-21 00:00:00,5.31
62,201,2023-10-21 08:00:00,5.69
63,201,2023-10-21 16:00:00,5.06
64,201,2023-10-22 00:00:00,7.55
65,201,2023-10-22 08:00:00,3.87
66,201,2023-10-22 16:00:00,2.16
67,201,2023-10-23 00:00:00,0.74
68,201,2023-10-23 08:00:00,6.66
69,201,2023-10-23 16:00:00,6.81
70,201,2023-10-24 00:00:00,8.14
71,201,2023-10-24 08:00:00,2.67
72,201,2023-10-24 16:00:00,6.1
73,201,2023-10-25 00:00:00,5.86
74,201,2023-10-25 08:00:00,2.64
75,201,2023-10-25 16:00:00,8.72
76,201,2023-10-26 00:00:00,5.27
77,201,2023-10-26 08:00:00,8.81
78,201,2023-10-26 16:00:00,8.4
79,201,2023-10-27 00:00:00,9.56
80,201,2023-10-27 08:00:00,4.8
81,201,2023-10-27 16:00:00,9.78
82,201,2023-10-28 00:00:00,2.34
83,201,2023-10-28 08:00:00,4.83
84,201,2023-10-28 16:00:00,4.5
85,201,2023-10-29 00:00:00,5.73
86,201,2023-10-29 08:00:00,9.61
87,201,2023-10-29 16:00:00,3.2
88,201,2023-10-30 00:00:00,3.39
89,201,2023-10-30 08:00:00,0.57
90,201,2023-10-30 16:00:00,8.52
91,201,2023-10-31 00:00:00,5.0
92,201,2023-10-31 08:00:00,4.34
93,201,2023-10-31 16:00:00,2.78
94,201,2023-11-01 00:00:00,3.06
95,201,2023-11-01 08:00:00,6.72
96,201,2023-11-01 16:00:00,3.04
97,201,2023-11-02 00:00:00,8.45
98,201,2023-11-02 08:00:00,9.7
99,201,2023-11-02 16:00:00,7.33
100,201,2023-11-03 00:00:00,4.47
101,201,2023-11-03 08:00:00,0.65
102,201,2023-11-03 16:00:00,1.69
103,201,2023-11-04 00:00:00,6.68
104,201,2023-11-04 08:00:00,4.99
105,201,2023-11-04 16:00:00,0.9
106,201,2023-11-05 00:00:00,4.74
107,201,2023-11-05 08:00:00,6.46
108,201,2023-11-05 16:00:00,5.2
